user_id,treatment,pre_metric,outcome,guardrail
1,0,70.24276593018755,235.98417826918626,53.91840974518183
2,1,77.49627796537676,252.5710202439652,50.037693152288
3,1,107.77637820527427,264.3475614158802,53.27406602182411
4,1,76.52253347387942,247.02099845961845,44.92841476634606
5,0,122.25268610406604,277.69538088272327,50.71693131614911
6,0,98.57759418339327,260.46271024276336,46.50368396308042
7,0,101.71189407889051,265.94300152323905,43.8981317346189
8,1,94.43254064784212,268.79966828571366,45.69446060964492
9,1,115.45695677087446,286.3175600740006,47.277614541120705
10,1,115.66319775554021,288.1800586348741,56.22347263511926
11,0,106.70108703824343,246.60348602428502,47.145298002536705
12,1,111.29578211815296,268.2343727667481,43.64229874860889
13,1,95.75820660159148,265.14116438605447,50.65738711248334
14,0,110.84406013818096,266.27966082803516,50.14590330338837
15,0,93.24244449052387,249.244560956134,47.53973493994901
16,0,100.04463244324803,269.1470161758319,49.19388267076937
17,0,94.50712501267405,276.50375869051044,54.881135429982855
18,1,90.85562921361608,266.374997083987,53.353528826995884
19,0,86.2177640455642,252.57406874932062,52.921151034368656
20,0,109.3538020771777,274.10684379734994,44.081606077398845
21,1,126.21211825626926,267.06887340172716,64.43274030857661
22,0,123.42203943339119,274.33791306441884,55.25626105137111
23,0,74.8686932810913,254.71157422332996,52.585142815954356
24,0,125.78406102813747,269.03889664487133,44.17844112801395
25,0,93.63682996764142,243.9164921815652,54.73865056367054
26,1,112.01466030291184,275.35074008074935,47.49435744850336
27,0,81.87569335905579,248.51856168341428,49.02864597682017
28,1,102.8395982774801,262.6172361473335,41.596103619703584
29,1,106.27446365793814,294.7262909552724,43.79258457029745
30,0,70.30790416160694,237.3977786868847,52.192732494135676
31,1,112.16534332688379,265.76261248186455,55.03117337635245
32,0,126.9187001567663,275.2150069033537,53.424522098975174
33,0,96.50704108636744,266.9828310288654,53.254094983714744
34,1,127.20336261656026,286.4961600599185,49.676167715201466
35,1,96.20613013095185,272.57961727901113,47.96646492316894
36,1,116.99169062093235,271.4799084292278,51.44447571782697
37,0,55.62860068097801,248.25404487262193,54.107041615501366
38,0,148.3755555862693,294.642443630946,50.02431127466796
39,1,129.90916490485915,298.42251463169157,56.051260099567024
40,0,94.30748991492642,260.23610027370756,48.92465368091996
41,0,60.55821946712364,244.58377205756202,45.09860532351974
42,0,105.76056736610978,254.7258148228936,49.948188789795
43,0,71.12148905852486,237.75878926821932,50.52986139129784
44,1,108.89707075114976,288.8030484062501,49.589849663617954
45,0,108.23131438328564,280.53620810281103,56.4032778044113
46,1,81.1719366199595,247.23250597478494,54.026509903620195
47,0,122.41934047228756,275.9489649620107,42.84529505689145
48,1,116.11149405612346,275.3574584288218,57.67183507099143
49,1,119.51646674577127,274.73956535381416,36.29291469585414
50,0,100.1771540733779,262.95468939758126,60.755121864262485
51,1,71.68951866172587,264.4233405206896,48.56347243221562
52,1,119.55744544422275,286.2510919993756,49.0521613167425
53,1,94.59257201728417,263.56041871118015,49.6999188051318
54,1,72.20439713614661,258.47125008103956,51.9260271642009
55,1,127.04078731948653,282.6247106558829,49.998683993665786
56,1,141.9881504100502,299.31403325333616,49.33302405581367
57,0,99.17503742041593,273.4696794568069,56.54459154678093
58,0,143.18242309206585,265.13785726223125,52.82798039875425
59,0,101.826294572227,269.0682997287366,45.205980728146194
60,0,92.39088191667298,240.0439799342991,53.70336957167862
61,0,87.39083091629045,264.7177756552189,52.620535015916694
62,0,132.74164815985483,273.2747327971843,47.2736313720939
63,1,84.39712237224457,248.4615596472819,53.96069213181081
64,0,114.70538619949974,275.77592399058733,49.2121369938848
65,0,88.81672329881583,256.9317346107136,48.8916326393745
66,1,90.79386474851273,254.4844498194911,48.75543441283533
67,0,120.60499387939134,259.8329987559508,37.859409715238
68,1,92.39926307421293,263.56474296961494,47.366503335326996
69,0,91.90409241159414,243.10158594524452,53.56586621062801
70,1,122.65609394349615,272.9789266368614,49.887943785481184
71,1,131.94794586443246,290.3249754228738,43.57406785072125
72,0,112.89379606568467,258.0775612968598,54.82315627596019
73,0,86.90460448752101,256.40815559277803,48.50699920228302
74,1,89.78783001404841,278.7741339672638,43.892122546692384
75,1,101.59830527480075,269.4734290158746,61.03006230835508
76,1,106.41860123851315,275.1526713629637,44.73413702756122
77,1,80.24268179720457,278.32657640667765,54.39745755642855
78,0,114.46075879159727,256.8004441011849,46.153429495726975
79,0,101.71026659279198,272.9385119074826,50.67913417286911
80,0,65.68583362723741,250.12007615546727,45.48909518315912
81,1,81.4214703507854,267.39605560220906,43.80347909363171
82,1,89.91742652696672,276.86793442350637,52.61101272335705
83,0,98.5428462231789,261.93145739349353,52.026452725672
84,0,137.78557591007993,276.8420505900553,55.72324722109532
85,0,104.76342612279257,273.80378858588125,49.82809034852068
86,0,83.18456220202751,261.23915943834544,61.10175897063246
87,1,104.41261608614326,283.7007086666188,51.341733337185175
88,1,92.95824505092239,266.2199678537458,52.83387340618606
89,1,106.49516479067084,266.7351537382692,43.20785377446386
90,0,111.6113537407123,268.8804347855435,46.929578424387344
91,0,124.18461294447876,283.9330679423656,52.59839850257988
92,1,99.51427008659948,279.9520799505593,49.578861187932084
93,1,132.77921055199667,285.3707650604521,50.93841567517318
94,1,118.16045325072383,284.0500009117082,45.91753122142903
95,1,85.85120910375625,248.42294241739418,50.60973486735811
96,0,144.19711331496927,296.36776901904005,50.59272945795868
97,1,106.53989026540195,266.09084659199056,44.097824900573805
98,0,83.2975099205553,257.83105954804864,53.21274922340295
99,0,133.05826102460844,268.3419108408635,41.499675265410154
100,0,141.5555517039689,295.24749008672137,50.921190402988415
101,0,99.33949472560879,262.822048735593,58.8279634691275
102,1,89.92699479248807,256.14261991932335,53.40275268909541
103,0,96.55250085092676,264.84506432136135,53.37149623018552
104,1,114.29463455035399,272.67316381215903,45.51286662525658
105,1,125.55713310061029,292.82983023481745,58.845310265764304
106,0,111.40974661727147,264.1047332165557,56.883590473011445
107,0,102.0344641694354,244.0102072453646,45.78204988552216
108,1,129.96023540608854,278.1519788388437,47.626183790925616
109,0,93.74327053896955,251.9418152365089,56.27328022463344
110,0,120.61838676733814,286.05292229788864,58.98073689158379
111,0,94.23874403297442,265.5546827250769,43.67656982454856
112,0,108.62045916021786,281.41088961935213,44.98144615137711
